postnummer,NDI,NDI_rank
51771,-.12361232,.47456467
51791,.50910723,.73997259
51792,.26211798,.65065545
51793,-.042323802,.51134807
51794,-.3527649,.36675796
51795,.064942516,.56290352
51796,.14970067,.6027196
51830,.042646084,.55214244
51831,.76206368,.80972415
51832,.94870102,.84895325
51833,.69041914,.79162592
51840,.50270504,.7376247
51841,.76615638,.81031108
51842,.94876689,.84905106
51843,2.0927896,.98043436
51890,.43553108,.71590686
51891,.3783491,.69389552
51930,-.3061482,.38788888
51931,-.93693519,.16660145
51990,-.19135876,.44384661
51991,-.36379349,.36186656
51992,-.54457533,.28800628
51993,-.56250727,.2808648
51994,-.58011776,.27391899
51995,-.20722142,.436216
51996,-.3105953,.38573664
51997,-.32981843,.37624732
52130,.6785453,.78859323
52131,-.19056337,.44404227
52132,.32522511,.67393857
52133,-1.3691679,.080903932
52134,-1.772024,.041087851
52135,-.73878193,.2191352
52137,-.91492677,.17296028
52140,.25307158,.64684016
52141,-.25056702,.41528076
52142,-.92677611,.16982979
52143,-.71146911,.22735277
52144,-1.0357563,.14224222
52145,-1.0908344,.12923107
52146,-1.3945283,.077479944
52147,-.10436273,.48395616
52151,-1.8406323,.036000784
52152,-1.171913,.11299159
52153,-.55341989,.2846801
52154,-.86260939,.18538447
52155,-.57381582,.27665818
52156,-.23820871,.42183524
52160,-.4291386,.33202896
52161,-.82088208,.19477597
52162,.12482427,.59117591
52163,.53100824,.74584228
52164,.43922171,.71678734
52170,-.89063323,.17824301
52171,-.35381484,.36558405
52172,-.28834924,.39620426
52173,-.62737876,.25552729
52174,-.26428223,.40882412
52175,-.77094758,.20993935
52191,-.13687657,.46859714
52192,.01194342,.53883779
52193,-.11308567,.47955391
52194,-.14294873,.46595579
52195,-.21473649,.43249854
52196,-.15355402,.46067306
52197,-.2345849,.42330268
52198,.46044579,.72402662
52230,-.46165013,.31862649
52231,-1.1757742,.11230679
52232,-.29178098,.39483467
52233,-.099852078,.48591274
52234,-1.3701836,.080708273
52235,.098125719,.57845825
52236,-1.3741629,.080219135
52237,-.64685464,.24858148
52291,-.41696683,.33721384
52292,-.57435286,.27636471
52293,-.22834545,.42613971
52294,-.12136175,.47544512
52330,-.95203716,.16180786
52331,.23230985,.63832909
52332,.058698382,.55977303
52333,.55571049,.75474465
52334,-.3246251,.37898651
52335,-.44201446,.32694188
52336,-1.4240388,.073958129
52337,.49676305,.7354725
52338,.22788146,.63656819
52339,-.47315043,.31402856
52340,.67413181,.78741932
52341,1.1408012,.88651925
52343,-.97273707,.15662298
52344,.052828662,.55654472
52345,.12803797,.59254551
52360,-1.0409843,.14067698
52361,-.65581483,.24535316
52362,-.2409614,.42085698
52372,-.26599932,.40784582
52374,-.29829565,.39189982
52375,-.84237415,.19066718
52376,-.57410461,.27646253
52377,-.38345504,.35247505
52378,-1.3469938,.084132262
52390,.4562577,.72265702
52391,-.28920612,.39551947
52392,-.29516032,.39346507
52393,-.18043932,.44824886
52394,-.22024998,.42956367
52395,-.51866162,.29808256
52396,-.020824272,.52220702
52397,.067213841,.56437099
52398,.20127389,.62570924
52399,-.075241812,.49520642
52430,-1.0770276,.13275288
52431,-.30151471,.39062807
52432,-.035444833,.51486987
52433,-.64131325,.2503424
52441,-.66185874,.2427118
52442,-1.0709317,.13363335
52491,.0087131569,.53727257
52492,-.83697152,.19193895
52493,-.39709833,.34621406
52495,-.31676498,.3828018
52496,-.17557459,.4501076
53030,-.40890187,.34093133
53032,1.6896822,.95402074
53130,-.18079343,.44775975
53131,-.69555032,.2319507
53132,-.81380701,.19800431
53133,-.22088464,.42936802
53134,-.4703629,.31510466
53135,-.67657274,.23821171
53136,-.98776639,.15339464
53137,-.46350694,.31774604
53138,-1.8526796,.034533359
53139,-.11370119,.4791626
